siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
O4671XR5220B	SK	1370.877	1353.216	1316.539	1266.698	1445.684	1778.937	1804.455	1818.537	1668.643	1793.207	1829.427	1761.541
O4680	AT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	BE	0.955	0.955	0.955	0.955	0.955	1.242	0.764	0.669	0.579	0.579	0.482	0.482
O4680	BG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	CZ	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	DE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	DK	14.474	18.334	12.544	0.930	0.056	0.000	0.109	4.878	10.280	20.036	8.490	2.423
O4680	EE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	EL	325.786	249.355	257.954	311.455	306.678	313.598	340.824	343.032	291.691	297.575	314.243	319.566
O4680	ES	104.213	123.512	83.950	107.108	224.830	491.153	491.153	564.488	344.483	388.100	466.694	395.569
O4680	EU27_2020	1027.153	936.937	893.969	944.010	1139.157	1336.048	1361.146	1436.711	1134.902	1130.059	1224.142	1112.482
O4680	FI	39.177	28.930	15.430	10.603	9.649	10.614	10.614	11.579	5.790	3.860	3.860	3.860
O4680	FR	21.357	22.683	20.400	20.347	13.061	12.855	14.354	11.319	7.868	9.808	12.382	11.237
O4680	HR	1.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	HU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	IE	19.698	19.698	14.774	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	IT	320.054	287.570	340.117	390.752	456.673	388.497	344.329	360.330	364.022	314.597	322.149	292.742
O4680	LT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	LU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	LV	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	MT	1.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.104	0.160	0.000	0.367
O4680	NL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	PL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	PT	81.208	84.074	50.635	48.725	70.698	59.811	62.172	59.792	44.938	42.984	47.748	37.928
O4680	RO	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	SE	96.390	101.826	97.210	53.135	56.557	58.278	96.827	80.624	65.147	52.360	48.094	48.308
O4680	SI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4680	SK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
R5210B	AT	77.253	66.090	62.921	59.845	57.128	56.020	57.594	56.502	56.184	52.134	51.594	99.839
R5210B	BE	53.744	53.441	38.454	40.160	42.652	95.780	112.395	128.423	128.397	160.021	167.444	183.671
R5210B	BG	0.000	8.383	14.832	32.244	32.889	26.650	28.595	31.819	26.507	20.750	20.898	21.066
R5210B	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.652	0.000	0.000	0.000
R5210B	CZ	56.105	53.525	65.778	63.199	48.366	59.329	61.264	73.517	65.778	55.460	63.199	62.554
